Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Tên gọi nghề nghiệp
				83326	Lái xe tải chở chất thải (bao gồm cả xe tải móc với thùng chứa cuộn)
				83329	Lái xe tải hạng vừa và xe tải hạng nặng khác
		834			Thợ vận hành thiết bị chuyển động
			8341	83410	Thợ vận hành thiết bị nông nghiệp và lâm nghiệp
			8342		Thợ vận hành máy đào đất và thợ vận hành thiết bị có liên quan
				83421	Thợ vận hành máy đào
				83422	Thợ vận hành máy ủi
				83423	Thợ vận hành máy nạo vét
				83424	Thợ vận hành máy đóng cọc/máy khoan
				83425	Thợ vận hành máy làm đường
				83426	Thợ vận hành máy đào hầm (kể cả thợ vận hành máy kích ống)
				83429	Thợ vận hành máy đào đất và thợ vận hành thiết bị có liên quan khác
			8343		Thợ vận hành cần trục và thợ vận hành các thiết bị có liên quan
				83431	Thợ vận hành cần trục (chung)
				83432	Thợ vận hành cần trục (hải cảng)
				83439	Thợ vận hành cần trục và thợ vận hành các thiết bị có liên quan khác
			8344		Thợ vận hành xe bốc dỡ
		835	8350		Thủy thủ trên tàu và những thợ có liên quan (trừ lao động trên tàu đánh bắt thủy sản)
				83501	Người lái tàu
				83502	Thủy thủ (bao gồm cả người chủ tàu)
				83509	Thủy thủ trên tàu và những thợ có liên quan khác
9					Lao động giản đơn
	91				Người quét dọn và giúp việc
		911			Người quét dọn và giúp việc gia đình, khách sạn và văn phòng
			9111		Người quét dọn và giúp việc gia đình
				91111	Người giúp việc gia đình (chung)
				91119	Người quét dọn và giúp việc gia đình khác
			9112		Người quét dọn và giúp việc trong văn phòng, khách sạn và các cơ sở khác
				91121	Người dọn dẹp văn phòng
				91122	Người dọn dẹp khách sạn
				91123	Người dọn dẹp cơ sở công nghiệp
				91124	Người dọn dẹp cơ sở thực phẩm và đồ uống (như nhà hàng, trung tâm bán hàng rong)
				91125	Người dọn dẹp khu dân cư (như chung cư, căn hộ riêng, khu vực chung trong khu dân cư)
				91126	Người dọn dẹp khu vực công cộng (như trạm dừng xe buýt, đường sắt, cống rãnh, cầu trên cao, đường giao thông, đường cao tốc, công viên, bãi biển)
				91127	Người dọn dẹp các phương tiện (như máy bay, tàu hỏa, tàu điện ngầm)
				91129	Người dọn dẹp ở các cơ sở khác (như trung tâm mua sắm, trường học, bệnh viện, những nơi thờ tự)
		912			Thợ rửa xe cộ, làm sạch cửa sổ, giặt là và những người làm công việc dọn dẹp bằng tay khác
			9121	91210	Thợ giặt là bằng tay
			9122	91220	Thợ rửa xe cộ
			9123	91230	Thợ làm sạch cửa sổ
			9129		Thợ lau dọn khác
	92	920			Lao động giản đơn trong nông nghiệp, lâm nghiệp và thủy sản
			9201	92010	Lao động trồng trọt
			9202	92020	Lao động chăn nuôi
			9203	92030	Lao động trồng trọt và chăn nuôi hỗn hợp
			9204	92040	Lao động làm vườn
			9205	92050	Lao động lâm nghiệp
			9206		Lao động thủy sản
				92061	Lao động nuôi trồng thủy sản
				92062	Lao động khai thác thủy sản trong nội địa
				92063	Lao động khai thác thủy sản trong vùng biển Việt Nam
	93				Lao động trong ngành khai khoáng, xây dựng, công nghiệp chế biến, chế tạo và giao thông vận tải
		931			Lao động trong ngành khai khoáng và xây dựng
			9311	93110	Lao động trong khai thác mỏ và khai thác đá
			9312	93120	Lao động trong xây dựng công trình kỹ thuật (không phải nhà)
			9313	93130	Thợ phụ xây dựng
		932			Lao động trong công nghiệp
			9321	93210	Lao động đóng gói thủ công
			9329	93290	Lao động công nghiệp khác chưa được phân vào đâu
		933			Lao động vận chuyển và kho hàng
			9331	93310	Lái xe bằng tay và đạp chân
			9332	93320	Người điều khiển máy kéo và phương tiện do gia súc kéo
			9333		Người mang vác hàng
				93331	Người mang vác hàng hóa xuống tàu và lên bờ
				93332	Người mang vác đường sắt/đường bộ
				93333	Người bốc xếp máy bay (như hành lý sân bay/xử lý hàng hóa)
				93334	Người bốc xếp tại kho
				93335	Người phục vụ xe vận chuyển hàng hóa
				93336	Người đẩy hàng
				93337	Người buộc dây hàng hóa
				93339	Người mang vác hàng khác
			9334	93340	Người bày hàng lên giá
	94	940			Người phụ giúp chuẩn bị thực phẩm
			9401	94010	Người chuẩn bị đồ ăn nhanh
			9402	94020	Người phụ bếp
	95				Lao động trên đường phố và lao động có liên quan đến bán hàng
		951	9510	95100	Lao động trên đường phố và lao động có liên quan
		952	9520	95200	Người bán hàng rong trên đường phố (trừ đồ ăn)
	96				Người thu dọn vật thải và lao động giản đơn khác
		961			Người thu dọn vật thải
			9611	96110	Người thu gom rác và tái chế
			9612	96120	Người thu dọn, sắp xếp, phân loại rác
			9613	96130	Người quét dọn và lao động khác có liên quan
		962			Lao động giản đơn khác
			9621		Người đưa thư, người giao hàng và người khuân vác hành lý
				96211	Người đưa thư
				96212	Người giao hàng
				96213	Người khuân vác ở khách sạn
				96214	Người khuân vác (trừ khách sạn)
			9622	96220	Người làm công việc lặt vặt
			9623	96230	Người đọc đồng hồ đo và người thu tiền từ máy bán hàng tự động
			9624	96240	Người thu gom nước và củi
			9629	96290	Lao động giản đơn khác chưa được phân vào đâu
0					Lực lượng vũ trang
	1				Lực lượng quân đội
		11	110	1100	Sĩ quan
		12	120	1200	Hạ sĩ quan, binh sĩ
		13	130	1300	Lực lượng khác trong quân đội
	2				Lực lượng công an
		21	210	2100	Sĩ quan
		22	220	2200	Hạ sĩ quan, chiến sĩ
		23	230	2300	Lực lượng khác trong công an
	3				Cơ yếu và lực lượng vũ trang khác
		31	310	3100	Cơ yếu
		32	320	3200	Lực lượng vũ trang khác
